Number,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
753886,01-07-19 9:00,40,76,48,30,28,58,66,52,39,71,73,59,15,2,42,50,53,68,35,65
753887,01-07-19 9:05,24,30,44,73,28,19,31,59,55,52,32,33,74,49,1,63,51,27,48,15
753888,01-07-19 9:10,18,8,74,23,42,6,45,40,4,37,80,49,29,73,56,38,11,13,63,22
753889,01-07-19 9:15,75,55,7,42,62,58,24,21,66,65,44,57,46,5,79,54,32,61,4,13
753890,01-07-19 9:20,50,54,17,49,56,72,15,2,38,21,44,66,27,11,34,10,67,79,41,28
753891,01-07-19 9:25,11,37,39,5,23,58,1,65,28,75,29,67,69,10,16,33,30,72,46,78
753892,01-07-19 9:30,67,64,37,79,47,50,73,68,59,33,70,51,44,16,52,60,13,66,55,26
753893,01-07-19 9:35,2,32,38,29,11,42,47,51,20,66,57,74,23,33,25,79,59,12,64,70
753894,01-07-19 9:40,67,12,34,26,7,41,19,3,60,61,38,55,2,77,75,8,68,45,33,30
753895,01-07-19 9:45,51,55,60,54,8,77,52,58,18,14,47,59,16,75,49,36,65,20,17,15
753896,01-07-19 9:50,29,36,35,17,64,74,69,58,9,13,57,77,5,16,78,30,31,63,12,11
753897,01-07-19 9:55,68,74,16,53,79,63,17,21,40,19,58,37,50,9,73,64,28,77,33,32
753898,01-07-19 10:00,47,42,14,21,16,64,17,3,58,6,1,2,8,24,39,80,31,28,18,73
753899,01-07-19 10:05,43,42,51,4,73,46,68,16,45,38,77,9,66,78,72,8,30,75,57,63
753900,01-07-19 10:10,58,64,73,44,15,62,40,11,42,13,26,72,24,22,10,8,78,69,67,53
753901,01-07-19 10:15,70,59,40,6,5,53,47,28,54,72,58,39,35,64,60,49,20,61,36,29
753902,01-07-19 10:20,71,73,38,5,1,51,75,17,31,44,8,63,50,16,34,62,35,41,30,47
753903,01-07-19 10:25,8,5,72,71,51,41,55,10,77,73,61,60,70,69,48,79,53,13,44,4
753904,01-07-19 10:30,16,80,43,67,57,50,78,25,70,60,33,79,12,8,49,34,64,48,17,13
753905,01-07-19 10:35,60,27,75,18,71,51,48,59,20,19,78,3,28,6,24,74,11,61,8,16
753906,01-07-19 10:40,38,56,57,48,11,50,21,41,24,67,58,51,63,35,3,71,6,52,36,10
753907,01-07-19 10:45,60,20,63,46,4,31,70,23,56,65,55,80,75,71,19,49,79,25,9,7
753908,01-07-19 10:50,18,16,33,68,36,67,19,61,79,38,17,9,20,13,23,43,55,48,2,75
753909,01-07-19 10:55,19,62,65,32,69,4,11,73,3,56,46,42,13,34,26,66,54,72,41,68
753910,01-07-19 11:00,60,38,13,52,16,68,33,34,22,59,17,73,62,28,55,7,42,11,46,41
753911,01-07-19 11:05,8,41,50,2,25,32,49,10,55,17,37,62,35,43,78,51,44,20,26,19
753912,01-07-19 11:10,20,72,40,53,9,25,33,26,14,4,36,80,8,23,21,31,22,71,68,55
753913,01-07-19 11:15,63,71,26,33,40,29,45,34,22,1,16,12,60,73,59,35,19,58,23,68
753914,01-07-19 11:20,77,33,57,1,52,20,2,71,49,42,78,59,17,39,72,70,45,64,75,80
753915,01-07-19 11:25,23,1,22,21,58,33,36,53,79,44,6,24,27,43,2,54,68,32,76,39
753916,01-07-19 11:30,64,45,14,26,70,57,62,74,40,11,38,56,79,15,10,41,20,67,52,72
753917,01-07-19 11:35,12,58,48,61,69,15,63,25,50,54,74,36,46,17,75,73,57,60,53,56
753918,01-07-19 11:40,21,43,44,55,70,22,37,42,52,1,24,65,10,34,73,46,66,54,7,47
753919,01-07-19 11:45,34,61,77,55,8,4,68,13,15,57,37,11,76,6,3,38,58,45,24,80
753920,01-07-19 11:50,8,10,73,63,11,28,61,45,66,24,68,25,16,64,71,26,59,43,51,48
753921,01-07-19 11:55,29,57,48,60,6,24,12,27,68,26,53,20,50,55,35,73,36,14,25,77
753922,01-07-19 12:00,63,49,3,57,5,62,9,7,71,72,26,59,17,75,69,70,19,52,27,18
753923,01-07-19 12:05,11,6,18,14,35,21,17,31,60,69,38,59,63,50,41,5,51,52,32,10
753924,01-07-19 12:10,40,11,69,16,23,8,70,44,62,63,7,74,43,71,80,50,14,31,24,52
753925,01-07-19 12:15,50,70,52,71,40,23,56,59,49,8,55,26,25,64,45,42,35,77,68,18
753926,01-07-19 12:20,57,33,12,16,70,52,68,32,78,18,26,36,24,30,69,75,45,49,56,6
753927,01-07-19 12:25,38,59,63,79,34,35,46,7,44,23,50,77,67,49,15,60,54,24,55,45
753928,01-07-19 12:30,37,61,50,64,40,29,16,18,63,1,80,75,55,11,30,7,79,39,21,5
753929,01-07-19 12:35,22,30,70,25,40,27,4,45,29,71,56,34,16,19,26,69,18,35,31,43
